HOME_TEAM_ID,VISITOR_TEAM_ID,SCORE_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,SCORE_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
48,50,104,0.398,0.76,0.333,23,53,113,0.422,0.875,0.357,21,46,0
59,54,108,0.412,0.813,0.324,28,52,119,0.489,1,0.389,23,47,0
44,49,122,0.484,0.933,0.4,33,55,109,0.413,0.696,0.386,27,39,1
43,61,115,0.551,0.75,0.407,32,39,127,0.471,0.76,0.387,28,50,0
62,58,134,0.558,0.71,0.39,21,44,125,0.5,0.857,0.394,27,33,1
57,64,127,0.516,0.909,0.367,21,43,118,0.47,0.963,0.412,26,35,1
53,50,118,0.465,0.88,0.4,31,49,110,0.456,1,0.333,24,37,1
37,46,112,0.478,0.895,0.29,28,47,106,0.488,0.824,0.375,22,36,1
38,65,114,0.467,0.8,0.188,23,47,103,0.422,0.958,0.294,21,42,1
48,39,117,0.477,0.889,0.314,28,42,105,0.443,0.931,0.32,25,40,1
45,42,100,0.477,0.632,0.2,29,39,113,0.455,0.786,0.306,20,47,0
63,52,118,0.447,0.586,0.346,23,53,114,0.422,0.757,0.4,23,54,1
40,66,120,0.5,0.76,0.385,31,40,142,0.598,0.8,0.468,41,38,0
59,62,104,0.4,0.698,0.207,15,54,102,0.402,0.652,0.325,20,57,1
56,61,112,0.5,0.765,0.306,27,40,117,0.447,0.905,0.438,19,48,0
47,64,122,0.527,0.706,0.452,25,37,109,0.459,0.667,0.333,21,47,1
55,51,100,0.323,0.867,0.389,19,50,129,0.56,0.529,0.45,29,45,0
43,44,102,0.417,0.781,0.226,19,49,113,0.477,0.75,0.333,26,36,0
66,38,101,0.424,0.75,0.242,18,46,115,0.495,0.786,0.324,30,47,0
65,41,108,0.512,0.765,0.355,25,32,114,0.526,0.886,0.2,19,33,0
48,56,90,0.398,0.769,0.303,27,38,111,0.455,1,0.297,26,55,0
49,37,124,0.5,0.783,0.343,24,50,115,0.5,0.818,0.289,26,44,1
45,47,139,0.51,0.947,0.425,25,50,130,0.465,0.692,0.383,25,48,1
50,60,132,0.523,0.769,0.423,34,48,102,0.414,0.667,0.326,26,42,1
40,53,102,0.441,0.722,0.226,23,41,108,0.474,0.846,0.378,25,45,0
42,52,77,0.314,0.68,0.136,11,37,107,0.429,0.788,0.265,20,55,0
59,61,104,0.452,0.95,0.281,24,36,119,0.482,0.929,0.367,12,47,0
62,57,123,0.519,0.815,0.37,31,50,85,0.326,0.818,0.25,19,36,1
58,43,100,0.447,0.667,0.353,24,38,106,0.488,0.895,0.257,26,51,0
46,64,115,0.5,1,0.5,21,41,109,0.471,0.85,0.37,26,41,1
66,51,121,0.489,0.818,0.317,26,41,132,0.561,0.759,0.514,33,38,0
54,39,124,0.538,0.667,0.5,35,38,127,0.5,0.889,0.281,25,40,0
53,56,99,0.38,0.88,0.179,17,53,102,0.38,0.826,0.351,24,52,0
63,40,132,0.475,0.833,0.364,30,52,111,0.466,0.667,0.324,24,45,1
60,49,115,0.5,0.714,0.41,26,36,142,0.53,0.8,0.5,35,53,0
44,46,112,0.478,0.846,0.382,33,51,97,0.355,0.826,0.308,23,47,1
65,37,113,0.462,0.652,0.364,27,47,110,0.452,0.682,0.289,28,48,1
55,41,121,0.488,0.794,0.4,29,38,106,0.448,0.769,0.333,22,48,1
48,45,123,0.538,0.786,0.452,26,50,106,0.443,0.682,0.302,22,33,1
50,57,124,0.413,0.795,0.302,21,67,81,0.277,0.737,0.25,11,42,1
42,62,111,0.443,0.8,0.37,19,43,103,0.434,0.792,0.387,22,45,1
59,47,117,0.548,0.533,0.346,28,47,110,0.473,0.696,0.308,19,43,1
43,44,131,0.548,0.707,0.313,39,41,124,0.511,0.739,0.425,29,41,1
58,52,115,0.488,0.722,0.344,23,40,131,0.511,0.826,0.429,19,47,0
38,51,126,0.482,0.763,0.472,25,37,120,0.506,0.9,0.444,24,45,1
49,56,132,0.54,0.793,0.469,31,48,122,0.538,0.727,0.452,33,27,1
64,54,133,0.523,0.813,0.405,33,36,123,0.518,0.862,0.323,28,42,1
45,63,123,0.524,0.667,0.382,23,45,112,0.454,0.704,0.192,27,40,1
60,62,103,0.424,0.895,0.2,20,47,116,0.449,0.765,0.442,27,48,0
39,61,104,0.459,0.652,0.306,24,58,96,0.394,0.615,0.25,17,45,1
43,40,138,0.54,0.791,0.303,32,47,130,0.475,0.69,0.424,30,49,1
46,52,93,0.375,0.727,0.324,17,43,116,0.472,0.633,0.448,19,57,0
42,58,114,0.476,0.741,0.389,22,39,113,0.489,0.667,0.36,24,45,1
66,59,123,0.462,0.793,0.381,29,50,117,0.459,0.8,0.297,28,51,1
48,55,99,0.486,0.842,0.464,20,38,82,0.341,0.826,0.171,13,41,1
63,53,124,0.5,0.667,0.412,25,55,96,0.43,0.688,0.314,25,41,1
50,57,135,0.565,0.828,0.405,36,42,121,0.471,0.833,0.421,24,41,1
47,44,124,0.494,0.857,0.439,25,47,116,0.5,0.474,0.441,22,41,1
65,54,111,0.447,0.667,0.5,28,52,106,0.39,0.643,0.25,24,55,1
55,39,125,0.547,0.906,0.424,23,30,119,0.537,0.875,0.357,30,41,1
64,37,114,0.541,0.889,0.483,37,41,117,0.418,0.824,0.361,18,39,0
61,53,97,0.398,0.647,0.324,22,54,103,0.379,0.952,0.297,24,55,0
41,49,112,0.5,0.727,0.385,25,40,118,0.489,0.667,0.323,20,50,0
40,62,124,0.515,0.765,0.306,29,52,90,0.348,0.654,0.268,15,52,1
60,50,101,0.43,0.857,0.257,19,39,138,0.538,0.783,0.468,35,41,0
43,45,116,0.453,0.806,0.394,27,41,101,0.458,0.682,0.278,25,44,1
